OBJECTNUM;P_OBJECTNUM_OBJECTNUM;code;VALCD;VALNM;USERYN;SORT;RMK1;RMK2;createdAt;createdBy;modifiedAt;modifiedBy
b5df6d37-66a2-4ce1-b91c-be5fc88e1001;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;59;사업자미등록 등;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1002;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;60;세금계산서 지연발급 등;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1003;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;61;세금계산서 지연수취;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1004;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;62;세금계산서 미발급 등;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1005;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;63;전자세금계산서 지연전송;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1006;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;64;전자세금계산서 미전송;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1007;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;65;세금계산서합계표 제출불성실;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1008;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;66;세금계산서합계표 지연제출;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1009;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;67;신고불성실 무신고(일반);Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1010;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;68;신고불성실 무신고(부당);Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1011;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;69;신고불성실 과소 초과환급신고(일반);Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1012;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;70;신고불성실 과소 초과환급신고(부당);Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1013;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;71;납부불성실;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1014;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;72;영세율과세표준신고불성실;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1015;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;73;현금매출명세서 불성실;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1016;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;74;부동산임대공급가액명세서불성실;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1017;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;75;매입자 납부특례 거래계좌 미사용;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1018;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;AddTType;76;매입자 납부특례 거래계좌 지연입금;Y;0;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1019;b5df6d37-66a2-4ce1-b91c-be5fc88e6002;BANK;1;한국은행;Y;1;;;2022-08-28;manager;2022-08-28;manager
b5df6d37-66a2-4ce1-b91c-be5fc88e1020;b5df6d37-66a2-4ce1-b91c-be5fc88e6002;BANK;2;산업은행;Y;2;;;2022-08-28;manager;2022-08-28;manager
