P_OBJECTNUM_OBJECTNUM;TAXCODE;TAXNAME;TAXTYPE_CODE;ETAX_CODE;FIXTAX_CODE;NONDEDCT_CODE;CREDITCD_CODE;DEEMTAX
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P00;매입-신고;T(과세);E(전자);;;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P01;매입-과세-일반;N(면세);E(전자);;;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P02;매입-과세-고정자산매입-건물;T(과세);E(전자);B(건물구축물);;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P03;매입-과세-고정자산매입-구축물;T(과세);E(전자);B(건물구축물);;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P04;매입-과세-고정자산매입-기계장치;T(과세);E(전자);M(기계장치);;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P05;매입-과세-고정자산매입-차량운반구;T(과세);E(전자);C(차량운반구);;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P06;매입-과세-고정자산매입-비품;T(과세);E(전자);E(기타);;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P07;매입-과세-고정자산매입-투자부동산;T(과세);E(전자);E(기타);;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P08;매입-과세-고정자산매입-기타;T(과세);E(전자);E(기타);;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P09;매입-과세-법인카드;T(과세);E(전자);;;4(사업용신카드);false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P10;매입-과세-세액불공제-자동차;T(과세);E(전자);;3(비영업용소형승용차 구입 및 유지);;false

b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P11;매입-과세-세액불공제-접대비;T(과세);E(전자);;4(접대비 및 이와 유사한 비용관련);;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P12;매입-과세-세액불공제-면세사업;T(과세);E(전자);;5(면세사업 관련);;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P13;매입-과세-세액불공제-토지;T(과세);E(전자);;6(토지의 자본적 지출 관련);;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P14;매입-영세;Z(영세);E(전자);;;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P15;매입-면세;N(면세);E(전자);;;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P16;매입-과세-종이;T(과세);G(일반);;;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P17;매입-면세-종이;N(면세);G(일반);;;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;P18;매입-영세-종이;Z(영세);G(일반);;;;false
b5df6d37-66a2-4ce1-b91c-be5fc88e6721;PZZ;매입-무관거래(신고제외);U(무관);G(일반);;;;false

34a7d260-5379-43c6-a5e5-ba8609143edf;S00;매출-신고;T(과세);E(전자);;;;false
34a7d260-5379-43c6-a5e5-ba8609143edf;S01;매출-과세-일반;T(과세);E(전자);;;;false
34a7d260-5379-43c6-a5e5-ba8609143edf;S02;매출-과세-고정자산매각;T(과세);E(전자);;;;false
34a7d260-5379-43c6-a5e5-ba8609143edf;S03;매출-영세-직수출;Z(영세);E(전자);;;;false
34a7d260-5379-43c6-a5e5-ba8609143edf;S04;매출-영세-기타;Z(영세);E(전자);;;;false
34a7d260-5379-43c6-a5e5-ba8609143edf;S05;매출-면세;N(면세);E(전자);;;;false
34a7d260-5379-43c6-a5e5-ba8609143edf;SZZ;매출-무관거래(신고제외);U(무관);E(전자);;;;false
