OBJECTNUM;P_OBJECTNUM_OBJECTNUM;DOCCODE;DOCNAME
b311a3ce-c787-4d4e-b9ed-46ca306b4201;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX20;부가가치세신고서
b311a3ce-c787-4d4e-b9ed-46ca306b4202;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX11;신용카드매출전표 등 발행금액 집계표
b311a3ce-c787-4d4e-b9ed-46ca306b4203;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX09;영세율첨부서류제출명세서
b311a3ce-c787-4d4e-b9ed-46ca306b4204;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX28;부동산임대공급가액명세서
b311a3ce-c787-4d4e-b9ed-46ca306b4205;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX10;건물등 감가상각자산 취득명세서
b311a3ce-c787-4d4e-b9ed-46ca306b4206;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX12;공제받지못할매입세액명세서
b311a3ce-c787-4d4e-b9ed-46ca306b4207;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX18;사업자단위과세의 사업장별부가가치세과세표준및납부세액(환급세액)신고명세서
b311a3ce-c787-4d4e-b9ed-46ca306b4208;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX15;영세율매출명세서
b311a3ce-c787-4d4e-b9ed-46ca306b4209;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX06T;세금계산서합계표
b311a3ce-c787-4d4e-b9ed-46ca306b4210;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX07;계산서합계표
b311a3ce-c787-4d4e-b9ed-46ca306b4211;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX08;수출실적명세서
b311a3ce-c787-4d4e-b9ed-46ca306b4212;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX06S;신용카드매출전표등수령명세서
b311a3ce-c787-4d4e-b9ed-46ca306b4213;b311a3ce-c787-4d4e-b9ed-46ca306b4443;TAX34;사업장현황(음식점/숙박업)(확정신고시만해당)
